metricId;dateTime;value
218219;21/11/2023 00:00;1
218219;21/11/2023 00:05;1
218219;21/11/2023 00:10;1
218219;21/11/2023 00:15;1
218219;21/11/2023 00:20;1
218219;21/11/2023 00:25;1
218219;21/11/2023 00:35;1
218219;21/11/2023 00:40;1
218219;21/11/2023 00:45;1
218219;21/11/2023 00:50;1
218219;21/11/2023 00:55;1
218219;21/11/2023 01:00;1
218219;21/11/2023 01:05;1
218219;21/11/2023 01:10;1
218219;21/11/2023 01:15;1
218219;21/11/2023 01:20;1
218219;21/11/2023 01:25;1
218219;21/11/2023 01:30;1
218219;21/11/2023 01:35;1
218219;21/11/2023 01:40;1
218219;21/11/2023 01:45;1
218219;21/11/2023 01:50;1
218219;21/11/2023 01:55;1
218219;21/11/2023 02:00;1
218219;21/11/2023 02:05;1
218219;21/11/2023 02:10;1
218219;21/11/2023 02:15;1
218219;21/11/2023 02:20;1
218219;21/11/2023 02:25;1
218219;21/11/2023 02:35;1
218219;21/11/2023 02:40;1
218219;21/11/2023 02:45;1
218219;21/11/2023 02:50;1
218219;21/11/2023 02:55;1
218219;21/11/2023 03:00;1
218219;21/11/2023 03:05;1
218219;21/11/2023 03:10;1
218219;21/11/2023 03:15;1
218219;21/11/2023 03:20;1
218219;21/11/2023 03:25;1
218219;21/11/2023 03:30;1
218219;21/11/2023 03:35;1
218219;21/11/2023 03:45;1
218219;21/11/2023 03:50;1
218219;21/11/2023 03:55;1
218219;21/11/2023 04:00;1
218219;21/11/2023 04:05;1
218219;21/11/2023 04:10;1
218219;21/11/2023 04:15;1
218219;21/11/2023 04:20;1
218219;21/11/2023 04:25;1
218219;21/11/2023 04:30;1
218219;21/11/2023 04:35;1
218219;21/11/2023 04:40;1
218219;21/11/2023 04:50;1
218219;21/11/2023 04:55;1
218219;21/11/2023 05:00;1
218219;21/11/2023 05:05;1
218219;21/11/2023 05:10;1
218219;21/11/2023 05:15;1
218219;21/11/2023 05:20;1
218219;21/11/2023 05:25;1
218219;21/11/2023 05:30;1
218219;21/11/2023 05:35;1
218219;21/11/2023 05:40;1
218219;21/11/2023 05:45;1
218219;21/11/2023 05:50;1
218219;21/11/2023 05:55;1
218219;21/11/2023 06:05;1
218219;21/11/2023 06:10;1
218219;21/11/2023 06:15;1
218219;21/11/2023 06:20;1
218219;21/11/2023 06:25;1
218219;21/11/2023 06:30;1
218219;21/11/2023 06:35;1
218219;21/11/2023 06:40;1
218219;21/11/2023 06:45;1
218219;21/11/2023 06:50;1
218219;21/11/2023 06:55;1
218219;21/11/2023 07:05;1
218219;21/11/2023 07:10;1
218219;21/11/2023 07:15;1
218219;21/11/2023 07:25;1
218219;21/11/2023 07:30;1
218219;21/11/2023 07:35;1
218219;21/11/2023 07:40;1
218219;21/11/2023 07:45;1
218219;21/11/2023 07:50;1
218219;21/11/2023 07:55;1
218219;21/11/2023 08:00;1
218219;21/11/2023 08:05;1
218219;21/11/2023 08:10;1
218219;21/11/2023 08:15;1
218219;21/11/2023 08:25;1
218219;21/11/2023 08:30;1
218219;21/11/2023 08:35;1
218219;21/11/2023 08:40;1
218219;21/11/2023 08:45;1
218219;21/11/2023 08:50;1
218219;21/11/2023 08:55;1
218219;21/11/2023 09:00;1
218219;21/11/2023 09:05;1
218219;21/11/2023 09:10;1
218219;21/11/2023 09:15;1
218219;21/11/2023 09:20;1
218219;21/11/2023 09:25;1
218219;21/11/2023 09:35;1
218219;21/11/2023 09:40;1
218219;21/11/2023 09:45;1
218219;21/11/2023 09:50;1
218219;21/11/2023 09:55;1
218219;21/11/2023 10:00;1
218219;21/11/2023 10:05;1
218219;21/11/2023 10:10;1
218219;21/11/2023 10:15;1
218219;21/11/2023 10:20;1
218219;21/11/2023 10:25;1
